timp,eroare
233.088485781,0.17644072771072383
233.215719636,0.16587240695953365
233.365276134,0.1553909301757812
233.499272081,0.1447909593582153
233.653930958,0.13260902166366573
233.777446596,0.11283750534057613
233.947804354,0.09267253875732417
234.039206065,0.07266266345977779
234.216109896,0.05345178842544551
234.721660284,0.02983225584030147
235.032285222,0.010342490673065141
235.459510879,-0.009533691406250044
235.769097406,-0.026003885269165083
236.061238319,-0.032034444808960005
236.251168892,-0.03400264978408818
236.449513812,-0.0601401805877686
236.631889047,-0.10535107851028447
236.791746356,-0.14610742330551152
236.901258915,-0.18117206096649174
237.097269869,-0.21237461566925053
237.235671717,-0.23964356184005742
237.380048865,-0.2635257720947266
237.535851728,-0.2850589036941529
237.786139796,-0.30544539093971257
237.936824501,-0.32088055014610295
238.164369397,-0.3358549058437348
238.362611809,-0.3483368039131165
238.511407529,-0.3590765774250031
238.647420794,-0.3688441395759583
238.76733309,-0.376215535402298
238.923850787,-0.38231773972511296
239.210701751,-0.3869359076023102
239.416946048,-0.3901809930801392
239.546366729,-0.39293693304061894
239.740786088,-0.39518623352050786
239.929245963,-0.39700080752372746
240.060322344,-0.39844097495079045
240.27078959,-0.39929886460304265
240.402219028,-0.39974986314773564
240.564637857,-0.3997346937656403
240.698812646,-0.3991999506950379
240.849128271,-0.3981562733650208
241.081705456,-0.39666877985000615
241.238121253,-0.3946927964687348
241.363311102,-0.3922867357730866
241.546674384,-0.38939492702484135
241.669282048,0.04510385990142818
241.869218385,0.04712791442871089
242.074331138,0.041522216796874956
242.259378706,0.02586532831192012
242.462003009,0.00785739421844478
242.749840074,-0.011763441562652632
242.909032728,-0.02558623552322392
243.160325639,-0.02996437549591069
243.264967117,-0.02240751981735234
243.38976186,-0.009965348243713423
243.505977866,0.004818630218505815
243.630328843,0.02045584917068477
243.826414,0.030069184303283647
243.94551354,0.01934362649917598
244.074846791,0.002789807319641069
244.239183777,-0.013271677494049117
244.410617303,-0.026928710937500044
244.634079311,-0.03090499639511113
244.768565532,-0.014707612991333052
245.080739783,0.010531318187713579
245.230414571,0.031020832061767534
245.349470263,-0.0030383348464966264
245.485514745,-0.02616285085678105
245.627578505,-0.041154015064239546
245.880690812,-0.05958079099655156
246.020410887,-0.07630633115768437
246.14344022,-0.09080426692962651
246.273255038,-0.10251789093017583
246.38954992,-0.11155443191528325
246.581426725,-0.11855118274688725
246.72209369,-0.1233956098556519
246.916761892,-0.12675343751907353
247.059664028,-0.12944941520690922
247.373601194,-0.13167988061904912
247.550228655,-0.1340380191802979
247.673125721,-0.13517640829086308
247.822148998,-0.13580636978149419
247.986572352,-0.13580082654953007
248.133094499,-0.13542811870574956
248.256370078,-0.13418732881546025
248.409540615,-0.13212625980377202
248.547918525,-0.1302026987075806
248.744202792,-0.12681685686111455
248.873522848,-0.014526593685150191
249.033254888,-0.011276471614837691
249.157197749,-0.00954370498657231
249.370429425,-0.0017660140991211382
249.73125407,0.010129880905151323
249.939452572,0.023294281959533647
250.244690775,0.028792870044708208
250.518543211,0.017141532897949174
250.641441333,-0.00033252239227299363
250.921390849,-0.017139661312103316
250.9245608,-0.03094248771667485
251.280783992,-0.03560297489166264
251.386010931,-0.022331821918487593
251.782532677,-0.030951607227325484
252.035184528,-0.06386773586273198
252.25137678,-0.09561930894851689
252.691134755,-0.12073563337326054
252.747245222,-0.14079748392105107
252.932814852,-0.15826426744461064
253.193919436,-0.1732044100761414
253.435059127,-0.18678997755050664
253.530279985,-0.19794540405273442
253.703585479,-0.2066357016563416
253.891184121,-0.2134035706520081
254.160281925,-0.21835361719131474
254.321542616,-0.22157566547393803
254.658224085,-0.2244821667671204
254.810288752,-0.22688745260238652
255.040096245,-0.22866522073745732
255.581448948,-0.23000191450119023
255.635334879,-0.23087035417556767
255.865239489,-0.2311822652816773
256.021956764,-0.23095743656158452
256.201688403,-0.23028163909912114
256.389503546,-0.22909866571426396
256.559674825,-0.2274445772171021
256.768903099,-0.22535424232482915
256.970282284,-0.22236721515655522
257.129546768,-0.21936767101287846
257.407546728,-0.21513741016387944
257.547439658,-0.20914398431777959
257.734743995,-0.20121889114379887
257.897685989,-0.19132744073867802
257.976142992,-0.1795467615127564
258.157281274,-0.15403978824615483
258.380972468,-0.13585202693939213
258.529734259,-0.11584465503692631
258.655567822,-0.09377603530883794
258.908964898,-0.06836907863616948
259.097957076,-0.0394717931747437
259.286180231,-0.006983685493469283
259.478670002,0.029886376857757524
259.669633331,0.06991989612579341
259.796675863,0.09987903833389278
260.145759354,0.09247590303421016
260.213669354,0.07971448898315425
